Alpha,T1-50.0 m/s-VLM1+Drag, , 
            0,   -0.06694206, , 
          0.2,   -0.06875646, , 
          0.4,   -0.07057096, , 
          0.6,   -0.07238548, , 
          0.8,   -0.07419992, , 
            1,    -0.0760142, , 
          1.2,    -0.0778282, , 
          1.4,   -0.07964185, , 
          1.6,   -0.08145508, , 
          1.8,   -0.08326779, , 
            2,   -0.08507982, , 
          2.2,   -0.08689112, , 
          2.4,    -0.0887016, , 
          2.6,   -0.09051121, , 
          2.8,   -0.09231977, , 
            3,   -0.09412722, , 
          3.2,   -0.09593356, , 
          3.4,   -0.09773867, , 
          3.6,   -0.09954244, , 
          3.8,    -0.1013448, , 
            4,    -0.1031457, , 
          4.2,    -0.1049451, , 
          4.4,    -0.1067429, , 
          4.6,     -0.108539, , 
          4.8,    -0.1103333, , 
            5,    -0.1121258, , 

